Treatment,nct_id,ID,COVID-19 status,Patient setting,Outcome,Size
"FPV, Standard of care",NCT04600895,NCT04600895,Confirmed,Outpatient,"Mortality, Hospitalization, Viral Load or Clearance, IgG, IgM or IgA, Distress",826
"FPV, Standard of care",NCT04600895,NCT04600895,Confirmed,Outpatient,"Mortality, Hospitalization, Viral Load or Clearance, IgG, IgM or IgA, Distress",826
"FPV, Standard of care",NCT04600895,NCT04600895,Confirmed,Outpatient,"Mortality, Hospitalization, Viral Load or Clearance, IgG, IgM or IgA, Distress",826
"FPV, Standard of care",NCT04600895,NCT04600895,Confirmed,Outpatient,"Mortality, Hospitalization, Viral Load or Clearance, IgG, IgM or IgA, Distress",826
"FPV, Standard of care",NCT04600895,NCT04600895,Confirmed,Outpatient,"Mortality, Hospitalization, Viral Load or Clearance, IgG, IgM or IgA, Distress",826
"FPV, Standard of care",NCT04600895,NCT04600895,Confirmed,Outpatient,"Mortality, Hospitalization, Viral Load or Clearance, IgG, IgM or IgA, Distress",826
"FPV, Standard of care",NCT04600895,NCT04600895,Confirmed,Outpatient,"Mortality, Hospitalization, Viral Load or Clearance, IgG, IgM or IgA, Distress",826
"Standard of care, Statins",NCT04380402,NCT04380402,Suspected,Hospital,"Mortality, ICU Admission, Visits or Returns to Emergency Department, Clinical Improvement Score (Any)",300
"Standard of care, SYKi + Standard of care",NCT04579393,NCT04579393,Confirmed,Hospital,"ICU Admission, Hospitalization, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA), Deep Vein Thrombosis or Pulmonary Embolism, C-Reactive Protein, Ferritin, IL-6, Lymphocyte Count, Platelet Count, D-Dimer, Fibrinogen, PaO2-FiO2, SpO2, Renal Outcome (Unspecified)",80
"Standard of care, SYKi + Standard of care",NCT04579393,NCT04579393,Confirmed,Hospital,"ICU Admission, Hospitalization, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA), Deep Vein Thrombosis or Pulmonary Embolism, C-Reactive Protein, Ferritin, IL-6, Lymphocyte Count, Platelet Count, D-Dimer, Fibrinogen, PaO2-FiO2, SpO2, Renal Outcome (Unspecified)",80
"Other, Standard of care",NCT04501796,NCT04501796,Confirmed,Outpatient,Lymphocyte Count,30
"Other, Standard of care",NCT04501796,NCT04501796,Confirmed,Outpatient,Lymphocyte Count,30
"Other, Standard of care",NCT04391179,NCT04391179,Confirmed,"Outpatient, Hospital",D-Dimer,100
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575597,NCT04575597,Confirmed,Outpatient,"Hospitalization, Adverse Events",1450
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
"Antivirals, Standard of care",NCT04575584,NCT04575584,Confirmed,Hospital,"Mortality, Adverse Events",1300
Stem cells,NCT04522986,NCT04522986,Confirmed,Unclear,Adverse Events,6
Stem cells,NCT04349631,NCT04349631,Healthy,Healthcare Workers,"Hospitalization, Cough, Fever, Dyspnea, Serious or Seconday Infections, C-Reactive Protein, IL-6, IL-10, Tumor Necrosis Factor (Any), White Blood Cell Count, Monocyte Count, Lymphocyte Count, Neutrophils, Platelet Count, Hemoglobin, Prothrombin, Electrolytes, INR, ALT, AST, Albumin, Bilirubin, Glucose, Blood Urea Nitrogen, Blood Gas, Quality of Life, Depression, Renal Outcome (Unspecified)",56
Vaccine,NCT04568031,NCT04568031,Healthy,Unclear,Serious Adverse Events,256
Vaccine,NCT04568031,NCT04568031,Healthy,Unclear,Serious Adverse Events,256
"Other, Standard of care",NCT04663737,NCT04663737,Confirmed,Outpatient,"Mortality, Hospitalization, Treatment-emergent Adverse Events, C-Reactive Protein, Ferritin, IL-6, D-Dimer, Creatinine Phosphokinase, LDH, SpO2, Radiographic Findings, Quality of Life",20
"Other, Standard of care",NCT04485130,NCT04485130,Confirmed,Outpatient,"Adverse Events, IL-1, IL-6, Radiographic Findings",60
"Standard of care, Vaccine",NCT04473690,NCT04473690,Healthy,Healthy Unexposed,"Serious Adverse Events, Antibodies",180
"Standard of care, Vaccine",NCT04473690,NCT04473690,Healthy,Healthy Unexposed,"Serious Adverse Events, Antibodies",180
"Standard of care, Vaccine",NCT04473690,NCT04473690,Healthy,Healthy Unexposed,"Serious Adverse Events, Antibodies",180
"CETP inhibitor, Standard of care",NCT04676867,NCT04676867,Confirmed,Outpatient,"Mortality, Hospitalization, Viral Load or Clearance",208
"Device, Standard of care",NCT04723459,NCT04723459,Healthy,"Healthy Exposed, Healthcare Workers",NA,150
"HCQ, HCQ + AZT, Standard of care",NCT04358081,NCT04358081,NA,Hospital,"Clinical Improvement Score (Any), Viral Load or Clearance, Adverse Events",20
"HCQ, HCQ + AZT, Standard of care",NCT04358081,NCT04358081,NA,Hospital,"Clinical Improvement Score (Any), Viral Load or Clearance, Adverse Events",20
"HCQ, HCQ + AZT, Standard of care",NCT04358081,NCT04358081,NA,Hospital,"Clinical Improvement Score (Any), Viral Load or Clearance, Adverse Events",20
"HCQ, HCQ + AZT, Standard of care",NCT04358081,NCT04358081,NA,Hospital,"Clinical Improvement Score (Any), Viral Load or Clearance, Adverse Events",20
"HCQ, HCQ + AZT, Standard of care",NCT04358081,NCT04358081,NA,Hospital,"Clinical Improvement Score (Any), Viral Load or Clearance, Adverse Events",20
"HCQ, HCQ + AZT, Standard of care",NCT04358081,NCT04358081,NA,Hospital,"Clinical Improvement Score (Any), Viral Load or Clearance, Adverse Events",20
"Non-invasive respiratory support, Standard of care",NCT04619719,NCT04619719,Confirmed,Unclear,"Mortality, Invasive Mechanical Ventilation or ECMO",360
"Non-invasive respiratory support, Standard of care",NCT04619719,NCT04619719,Confirmed,Unclear,"Mortality, Invasive Mechanical Ventilation or ECMO",360
"Non-invasive respiratory support, Standard of care",NCT04619719,NCT04619719,Confirmed,Unclear,"Mortality, Invasive Mechanical Ventilation or ECMO",360
"Non-invasive respiratory support, Standard of care",NCT04619719,NCT04619719,Confirmed,Unclear,"Mortality, Invasive Mechanical Ventilation or ECMO",360
"Plasma based therapy, Standard of care",NCT04364737,NCT04364737,NA,Hospital,Clinical Improvement Score (Any),1000
"Plasma based therapy, Standard of care",NCT04364737,NCT04364737,NA,Hospital,Clinical Improvement Score (Any),1000
"Plasma based therapy, Standard of care",NCT04364737,NCT04364737,NA,Hospital,Clinical Improvement Score (Any),1000
"Plasma based therapy, Standard of care",NCT04364737,NCT04364737,NA,Hospital,Clinical Improvement Score (Any),1000
"Plasma based therapy, Standard of care",NCT04364737,NCT04364737,NA,Hospital,Clinical Improvement Score (Any),1000
"HCQ, Standard of care",NCT04332991,NCT04332991,Confirmed,Hospital,"Mortality, ICU Admission, Invasive Mechanical Ventilation or ECMO",479
"HCQ, Standard of care",NCT04332991,NCT04332991,Confirmed,Hospital,"Mortality, ICU Admission, Invasive Mechanical Ventilation or ECMO",479
"HCQ, Standard of care",NCT04332991,NCT04332991,Confirmed,Hospital,"Mortality, ICU Admission, Invasive Mechanical Ventilation or ECMO",479
